CO_CODE	DIST_CODE	YEAR	TOTCOST
01	0010	1011	13491
01	0010	1011	17455
01	0110	1011	25490
01	0110	1011	17455
01	0120	1011	17691
01	0120	1011	22023
01	0125	1011	50536
01	0125	1011	61117
01	0570	1011	21131
01	0570	1011	17455
01	0590	1011	17275
01	0590	1011	17455
01	1300	1011	22402
01	1300	1011	16053
01	1310	1011	15257
01	1310	1011	17455
01	1410	1011	16670
01	1410	1011	17455
01	1540	1011	15211
01	1540	1011	17455
01	1690	1011	16130
01	1690	1011	16053
01	1790	1011	18256
01	1790	1011	18671
01	1940	1011	14707
01	1940	1011	16053
01	1960	1011	13046
01	1960	1011	17455
01	2680	1011	16533
01	2680	1011	16053
01	2910	1011	18749
01	2910	1011	18671
01	3020	1011	21064
01	3020	1011	17455
01	3480	1011	15875
01	3480	1011	16053
01	3720	1011	14091
01	3720	1011	16053
01	4180	1011	25812
01	4180	1011	17455
01	4240	1011	16283
01	4240	1011	17455
01	4800	1011	15663
01	4800	1011	16053
01	5350	1011	18351
01	5350	1011	17455
01	5760	1011	15709
01	5760	1011	17455
03	0040	1011	15429
03	0040	1011	16053
03	0080	1011	24823
03	0080	1011	17455
03	0285	1011	89831
03	0285	1011	61117
03	0290	1011	34227
03	0290	1011	22023
03	0300	1011	16925
03	0300	1011	17455
03	0440	1011	17074
03	0440	1011	17455
03	0740	1011	19077
03	0740	1011	16053
03	0745	1011	24567
03	0745	1011	18671
03	0890	1011	15315
03	0890	1011	17455
03	0930	1011	15518
03	0930	1011	16053
03	0990	1011	15954
03	0990	1011	17455
03	1070	1011	19547
03	1070	1011	16053
03	1130	1011	16105
03	1130	1011	17455
03	1230	1011	18966
03	1230	1011	16053
03	1270	1011	17071
03	1270	1011	17455
03	1345	1011	14999
03	1345	1011	17455
03	1360	1011	15702
03	1360	1011	17455
03	1370	1011	22264
03	1370	1011	17455
03	1380	1011	21390
03	1380	1011	17455
03	1450	1011	17079
03	1450	1011	17455
03	1470	1011	13514
03	1470	1011	17455
03	1550	1011	15568
03	1550	1011	17455
03	1580	1011	20267
03	1580	1011	16053
03	1700	1011	17674
03	1700	1011	17455
03	1760	1011	18576
03	1760	1011	17455
03	1860	1011	18153
03	1860	1011	17455
03	2050	1011	15557
03	2050	1011	16053
03	2080	1011	15641
03	2080	1011	17455
03	2090	1011	18098
03	2090	1011	16053
03	2180	1011	14760
03	2180	1011	16053
03	2200	1011	15503
03	2200	1011	17455
03	2620	1011	16814
03	2620	1011	17455
03	2710	1011	14800
03	2710	1011	17455
03	2740	1011	15927
03	2740	1011	17455
03	2860	1011	15698
03	2860	1011	17455
03	2900	1011	17521
03	2900	1011	17455
03	3060	1011	15848
03	3060	1011	17455
03	3170	1011	17586
03	3170	1011	17455
03	3330	1011	14237
03	3330	1011	16053
03	3350	1011	21345
03	3350	1011	17455
03	3550	1011	14436
03	3550	1011	17455
03	3600	1011	15848
03	3600	1011	17455
03	3700	1011	19411
03	3700	1011	18671
03	3710	1011	20900
03	3710	1011	18671
03	3730	1011	14896
03	3730	1011	16053
03	3740	1011	15328
03	3740	1011	16053
03	3760	1011	15940
03	3760	1011	16053
03	3850	1011	16046
03	3850	1011	16053
03	3870	1011	13860
03	3870	1011	15528
03	3910	1011	15715
03	3910	1011	17455
03	3930	1011	18152
03	3930	1011	17455
03	3940	1011	18658
03	3940	1011	17455
03	3960	1011	22836
03	3960	1011	18671
03	4300	1011	20533
03	4300	1011	18671
03	4310	1011	17774
03	4310	1011	17455
03	4370	1011	18690
03	4370	1011	17455
03	4380	1011	15466
03	4380	1011	17455
03	4390	1011	16456
03	4390	1011	17455
03	4405	1011	18429
03	4405	1011	18237
03	4410	1011	14156
03	4410	1011	15528
03	4430	1011	15505
03	4430	1011	16053
03	4470	1011	18280
03	4470	1011	17455
03	4600	1011	16555
03	4600	1011	17455
03	4610	1011	17449
03	4610	1011	17455
03	4620	1011	19145
03	4620	1011	17455
03	4870	1011	23886
03	4870	1011	17455
03	5150	1011	21648
03	5150	1011	17455
03	5160	1011	17415
03	5160	1011	17455
03	5330	1011	16047
03	5330	1011	16053
03	5410	1011	17076
03	5410	1011	17455
03	5430	1011	14180
03	5430	1011	17455
03	5755	1011	18195
03	5755	1011	17455
03	5830	1011	14954
03	5830	1011	17455
03	5880	1011	18132
03	5880	1011	16053
03	5920	1011	15505
03	5920	1011	16053
05	0200	1011	17618
05	0200	1011	15528
05	0380	1011	20152
05	0380	1011	17455
05	0475	1011	16193
05	0475	1011	17455
05	0600	1011	20904
05	0600	1011	17455
05	0605	1011	55102
05	0605	1011	61117
05	0610	1011	21639
05	0610	1011	22023
05	0620	1011	15204
05	0620	1011	17455
05	0830	1011	16369
05	0830	1011	15528
05	0840	1011	17642
05	0840	1011	17455
05	1030	1011	16876
05	1030	1011	17455
05	1060	1011	14843
05	1060	1011	17455
05	1250	1011	15950
05	1250	1011	16053
05	1280	1011	16350
05	1280	1011	17455
05	1420	1011	16248
05	1420	1011	16053
05	1520	1011	17487
05	1520	1011	17455
05	1910	1011	14142
05	1910	1011	16053
05	2610	1011	19265
05	2610	1011	18671
05	2850	1011	14659
05	2850	1011	16053
05	2960	1011	15061
05	2960	1011	15528
05	3010	1011	15714
05	3010	1011	17455
05	3070	1011	13209
05	3070	1011	16053
05	3080	1011	15615
05	3080	1011	16053
05	3360	1011	16453
05	3360	1011	17455
05	3430	1011	18804
05	3430	1011	16053
05	3440	1011	15634
05	3440	1011	16053
05	3540	1011	20253
05	3540	1011	17455
05	3650	1011	21800
05	3650	1011	15528
05	3690	1011	18679
05	3690	1011	18237
05	3920	1011	16789
05	3920	1011	17455
05	4050	1011	21986
05	4050	1011	17455
05	4320	1011	16243
05	4320	1011	18671
05	4450	1011	15924
05	4450	1011	17455
05	4460	1011	15397
05	4460	1011	17455
05	4740	1011	15211
05	4740	1011	16053
05	4930	1011	16988
05	4930	1011	16053
05	5010	1011	16466
05	5010	1011	15528
05	5130	1011	16188
05	5130	1011	16053
05	5490	1011	22272
