CO_CODE	DIST_CODE	SCH_CODE	TOTDRP
17	2060	050	0.0
17	2210	005	0.0
17	2210	888	0.7
17	2390	002	0.0
17	2390	050	0.0
17	2390	060	0.0
17	2390	070	0.0
17	2390	075	0.0
17	2390	080	0.0
17	2390	082	0.0
17	2390	888	5.2
17	2410	050	0.0
17	2410	888	1.7
17	3610	050	0.0
17	3610	888	1.2
17	4730	050	0.0
17	4730	888	0.2
17	5240	054	0.0
17	5240	055	0.0
17	5240	888	1.4
17	5580	050	0.0
17	5670	050	0.0
17	5670	888	0.3
19	1050	040	0.0
19	1050	888	0.7
19	2300	050	0.0
19	2300	888	1.1
19	3660	050	0.0
19	3660	060	0.0
19	3660	888	0.1
19	4890	050	0.0
19	4890	888	0.4
21	1245	050	0.0
21	1245	888	2.0
21	1430	050	0.0
21	1430	888	0.7
21	1950	050	0.0
21	1950	055	0.0
21	1950	060	0.0
21	1950	888	1.2
21	2280	030	0.0
21	2580	040	0.0
21	2580	888	0.7
21	4255	050	0.0
21	4255	888	0.6
21	5210	030	0.0
21	5210	050	0.0
21	5210	051	0.0
21	5210	888	4.3
21	5510	030	0.0
21	5715	020	0.0
21	5715	025	0.0
21	5715	888	0.1
23	0750	030	0.0
23	0750	888	2.1
23	1140	040	0.0
23	1140	888	0.7
23	1170	055	0.0
23	1170	888	1.4
23	1290	050	0.0
23	1290	053	0.0
23	1290	888	0.7
23	2150	050	0.0
23	2150	888	0.5
23	3120	050	0.0
23	3120	888	0.2
23	3140	050	0.0
23	3140	888	0.6
23	3290	005	0.0
23	3290	888	0.7
23	3530	050	0.0
23	3530	888	9.1
23	3620	040	0.0
23	3620	888	0.5
23	3845	040	0.0
23	3845	888	0.8
23	4090	050	0.0
23	4090	888	1.1
23	4130	050	0.0
23	4130	888	0.2
23	4660	050	0.0
23	4660	888	0.2
23	4830	030	0.0
23	4860	050	0.0
23	4860	888	0.4
23	4910	050	0.0
23	4910	888	0.3
23	4920	050	0.0
23	4920	888	1.9
23	4970	040	0.0
23	4970	888	0.3
23	5850	020	0.0
23	5850	040	0.0
23	5850	050	0.0
23	5850	888	0.7
